Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Total,Total,"40,146","20,309","19,837","2,348","1,295","1,053","7,958","4,159","3,799","5,572","2,724","2,848","8,753","4,301","4,452","13,650","6,838","6,812","1,865",992,873
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Total,Rural,269,142,127,11,8,3,61,29,32,50,29,21,57,28,29,84,43,41,6,5,1
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Total,Urban,"39,877","20,167","19,710","2,337","1,287","1,050","7,897","4,130","3,767","5,522","2,695","2,827","8,696","4,273","4,423","13,566","6,795","6,771","1,859",987,872
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Rural,Total,"8,112","4,541","3,571",731,446,285,"1,766","1,030",736,"1,072",577,495,"1,748",918,830,"2,435","1,348","1,087",360,222,138
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Rural,Rural,140,69,71,1,0,1,27,9,18,20,12,8,28,13,15,61,32,29,3,3,0
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Rural,Urban,"7,972","4,472","3,500",730,446,284,"1,739","1,021",718,"1,052",565,487,"1,720",905,815,"2,374","1,316","1,058",357,219,138
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Urban,Total,"31,271","15,382","15,889","1,588",834,754,"6,114","3,094","3,020","4,441","2,118","2,323","6,946","3,362","3,584","11,069","5,436","5,633","1,113",538,575
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Urban,Rural,122,66,56,10,8,2,34,20,14,27,14,13,27,13,14,23,11,12,1,0,1
D0302,7,0,State - NCT OF DELHI,Jammu & Kashmir,Urban,Urban,"31,149","15,316","15,833","1,578",826,752,"6,080","3,074","3,006","4,414","2,104","2,310","6,919","3,349","3,570","11,046","5,425","5,621","1,112",538,574
